trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
21736564_2535,08:51:00,08:51:00,9113,1,,0,0
21736564_2535,08:52:00,08:52:00,4664,2,,0,0
21736564_2535,08:52:00,08:52:00,4756,3,,0,0
21736564_2535,08:53:00,08:53:00,4757,4,,0,0
21736564_2535,08:53:00,08:53:00,4758,5,,0,0
21736564_2535,08:54:00,08:54:00,4759,6,,0,0
21736564_2535,08:54:00,08:54:00,4760,7,,0,0
21736564_2535,08:55:00,08:55:00,4761,8,,0,0
21736564_2535,08:55:00,08:55:00,4762,9,,0,0
21736564_2535,08:55:00,08:55:00,4763,10,,0,0
21736564_2535,08:56:00,08:56:00,4764,11,,0,0
21736564_2535,08:56:00,08:56:00,4765,12,,0,0
21736564_2535,08:57:00,08:57:00,4766,13,,0,0
21736564_2535,08:58:00,08:58:00,4767,14,,0,0
21736564_2535,08:58:00,08:58:00,6275,15,,0,0
21736564_2535,08:59:00,08:59:00,6276,16,,0,0
21736564_2535,08:59:00,08:59:00,6277,17,,0,0
21736564_2535,09:00:00,09:00:00,6278,18,,0,0
21736564_2535,09:01:00,09:01:00,6279,19,,0,0
21736564_2535,09:01:00,09:01:00,6280,20,,0,0
21736564_2535,09:02:00,09:02:00,6281,21,,0,0
21736564_2535,09:03:00,09:03:00,6282,22,,0,0
21736564_2535,09:03:00,09:03:00,6283,23,,0,0
21736564_2535,09:04:00,09:04:00,6284,24,,0,0
21736564_2535,09:04:00,09:04:00,6285,25,,0,0
21736564_2535,09:05:00,09:05:00,6286,26,,0,0
21736564_2535,09:05:00,09:05:00,6287,27,,0,0
21736564_2535,09:06:00,09:06:00,6288,28,,0,0
21736564_2535,09:07:00,09:07:00,6290,29,,0,0
21736564_2535,09:07:00,09:07:00,6291,30,,0,0
21736564_2535,09:08:00,09:08:00,6292,31,,0,0
21736564_2535,09:09:00,09:09:00,6293,32,,0,0
21736564_2535,09:10:00,09:10:00,6294,33,,0,0
21736564_2535,09:10:00,09:10:00,6295,34,,0,0
21736564_2535,09:11:00,09:11:00,6296,35,,0,0
21736564_2535,09:11:00,09:11:00,6297,36,,0,0
21736564_2535,09:12:00,09:12:00,6298,37,,0,0
21736564_2535,09:12:00,09:12:00,6299,38,,0,0
21736564_2535,09:13:00,09:13:00,6300,39,,0,0
21736564_2535,09:14:00,09:14:00,6302,40,,0,0
21736564_2535,09:15:00,09:15:00,2469,42,,0,0
21736564_2535,09:15:00,09:15:00,6303,41,,0,0
21736564_2535,09:15:00,09:15:00,6304,43,,0,0
21736564_2535,09:16:00,09:16:00,6305,44,,0,0
21736564_2535,09:16:00,09:16:00,6306,45,,0,0
21736564_2535,09:18:00,09:18:00,6308,46,,0,0
21736564_2535,09:19:00,09:19:00,2343,49,,0,0
21736564_2535,09:19:00,09:19:00,462,47,,0,0
21736564_2535,09:19:00,09:19:00,6209,48,,0,0
21736564_2535,09:21:00,09:21:00,2644,50,,0,0
21736564_2535,09:21:00,09:21:00,2645,51,,0,0
21736564_2535,09:22:00,09:22:00,2646,52,,0,0
21736564_2535,09:22:00,09:22:00,773,53,,0,0
21736564_2535,09:23:00,09:23:00,774,54,,0,0
21736565_2537,10:04:00,10:04:00,9113,1,,0,0
21736565_2537,10:05:00,10:05:00,4664,2,,0,0
21736565_2537,10:05:00,10:05:00,4756,3,,0,0
21736565_2537,10:06:00,10:06:00,4757,4,,0,0
21736565_2537,10:06:00,10:06:00,4758,5,,0,0
21736565_2537,10:07:00,10:07:00,4759,6,,0,0
21736565_2537,10:07:00,10:07:00,4760,7,,0,0
21736565_2537,10:08:00,10:08:00,4761,8,,0,0
21736565_2537,10:08:00,10:08:00,4762,9,,0,0
21736565_2537,10:08:00,10:08:00,4763,10,,0,0
21736565_2537,10:09:00,10:09:00,4764,11,,0,0
21736565_2537,10:09:00,10:09:00,4765,12,,0,0
21736565_2537,10:10:00,10:10:00,4766,13,,0,0
21736565_2537,10:11:00,10:11:00,4767,14,,0,0
21736565_2537,10:11:00,10:11:00,6275,15,,0,0
21736565_2537,10:12:00,10:12:00,6276,16,,0,0
21736565_2537,10:12:00,10:12:00,6277,17,,0,0
21736565_2537,10:13:00,10:13:00,6278,18,,0,0
21736565_2537,10:14:00,10:14:00,6279,19,,0,0
21736565_2537,10:14:00,10:14:00,6280,20,,0,0
21736565_2537,10:15:00,10:15:00,6281,21,,0,0
21736565_2537,10:16:00,10:16:00,6282,22,,0,0
21736565_2537,10:16:00,10:16:00,6283,23,,0,0
21736565_2537,10:17:00,10:17:00,6284,24,,0,0
21736565_2537,10:17:00,10:17:00,6285,25,,0,0
21736565_2537,10:18:00,10:18:00,6286,26,,0,0
21736565_2537,10:18:00,10:18:00,6287,27,,0,0
21736565_2537,10:19:00,10:19:00,6288,28,,0,0
21736565_2537,10:20:00,10:20:00,6290,29,,0,0
21736565_2537,10:20:00,10:20:00,6291,30,,0,0
21736565_2537,10:21:00,10:21:00,6292,31,,0,0
21736565_2537,10:22:00,10:22:00,6293,32,,0,0
21736565_2537,10:23:00,10:23:00,6294,33,,0,0
21736565_2537,10:23:00,10:23:00,6295,34,,0,0
21736565_2537,10:24:00,10:24:00,6296,35,,0,0
21736565_2537,10:24:00,10:24:00,6297,36,,0,0
21736565_2537,10:25:00,10:25:00,6298,37,,0,0
21736565_2537,10:25:00,10:25:00,6299,38,,0,0
